REFID	TITLE	SUBTITLE	AUTHORS	COVER	YEAR1STPUB
8335	The No-Bull Guide To Getting Published and making it as a writer	Everything you need to know to break into and prosper in this exciting and lucrative field	West, Michelle	BC8335-NoBullGuide.jpg	1988
8336	101 Ways To Market Your Books For Publishers and Authors		Kremer, John	BC8336-101WaysToMarket.jpg	1988
8338	Book Marketing Opportunities: A Directory	A Directory of Book Wholesalers, Distributors, Chain Stores, Catalogs, Book Clubs, Mailing Lists, Marketing Services, Reviewers, etc.	Kremer, John	BC8338-BookMarketingOpport.jpg	1988
8352	Embezzlers Dirty Tricks (And How to Spot Them)		Snyder, Stanley G.	BC8352-Embezzlers.jpg	1987
8370	Multiculturalism at Work	A Guide to Organizational Change	Thomas, Barb; illustrated by Bruun-Meyer, Margie	BC8370-MulticultWork.jpg	1987
8376	Pay Cheques & Picket Lines	All About Unions in Canada	MacKay, Claire; Illustrated by  Peters, Eric	BC8376-PayCheques&Picket.jpg	1987
8390	TV PR	How To Promote Yourself, Your Product, Your Service or Your Organization on Television	Chambers, Wicke  Asher, Spring	BC8390-TVPR.jpg	1987
8392	Business Guide to Print Promotion		Miller, Marlene	BC8392-PrintPromotion.jpg	1988
8417	Looking Good in Print	A Guide To Basic Design For Desktop Publishing.		BC8417-GoodinPrint.jpg	1988
8419	Marketing Mirage	How To Make It A Reality	McIver, Colin	BC8419-MarketingMirage.jpg	1987
8443	The Utne Reader Field Guide To The Alternative Press, Volume 1			BC8443s-FieldGuide.jpg	1988
8450	A History of Underground Comics		Estren, Mark James	BC8450-UndergroundComics.jpg	1986
8455	Put Work in Its Place	The Complete Gude to the Flexible Work Place	O'Hara, Bruce	BC8455-PutWorkInItsPlace.jpg	1952
8456	Employment Equity	How We Can Use it to Fight Workplace Racism	Allen, Jane	BC8456-EmploymentEquity.jpg	1988
8463	Our Common Future	A Reader's Guide	Hinrichsen, Don	BC8463-OurCommonFuture.jpg	1987
8470	The Canadian Peace Directory			BC8470s-PeaceDirectory.jpg	1988
8476	The Canadian Jewish Outlook Anthology		Rosenthal, Henry M., Berson, S. Cathy (eds.)	BC8476-JewishOutlook.jpg	1988
8480	Managing Crisis		Adolph, Val	BC8480s-ManagingCrisis.jpg	1982
8493	The Membership Mystigue		Trenbeth, Richard P.	BC8493-Membership.jpg	1986
8495	Media Resource Guide		McElwee, David A. (ed.)	BC8495-MediaResourceG.jpg	1987
8499	Harnessing Desktop Publishing:	How to Let the New Technology Help You Do Your Job Better	Tilden, Scott W.	BC8499-HarnessingDesktop.jpg	1987
8500	Bodian's Publishing Desk Reference	A Comprehensive Dictionary of Practices and Techniques for Book and Journal Marketing and Bookselling	Bodian, Nat G.	BC8500-Bodians.jpg	1988
8502	How-to-Make Big Profits Publishing City & Regional Books	A Guide for Entrepreneurs, Writers and Publishers	Ross, Tom & Marilyn	BC8502-BigProfitnew.jpg	1986
8524	Street Fighting Years	An Autobiography of the Sixties	Ali, Tariq	BC8524-StreetFightingYears.jpg	1987
8527	Meeting Facilitation: the No Magic Method		Lakey, Berit	BC8527s-MeetingFacilitation.jpg	1989
8529	Off Their Backs  ...and on our own two feet		Blood, Peter; Tuttle, Alan; Lakey, George	BC8529s-OffTheirBacks.jpg	1983
8531	Resource Manual for A Living Revolution	A Handbook of Skills & Tools for Social Change Activists	Coover, Virginia, Deacon, Ellen, Esser, Charles, Moore, Christopher	BC8531-LivingRevolution.jpg	1977
8536	Semiotext (e) USA			BC8536s-SemiotextUSA.jpg	1988
8548	The Householder's Guide to Community Defence Against Bureaucratic Aggression - Review	A report on Britain's Government Machine	Diemer, Ulli	BC8548-Householders.jpg	1972
