ID	ImageNum	Title	Filename	OriginalFilename	Author	Year1stPub	BildSource	Caption	ELibrary	CXDatabase	SourcesDB	Ullibrary	Nix	Marked	Publishist	Format	SoFRefID	SoFDate
1787	BT1787	Choice Abortion Clinics	BT1787-ChoiceAbortionClinics.jpg					Choice Abortion Clinics		True						PHO		
1788	BT1788	Union Unemployed Workers	BT1788-UnionUnemployedWorkers.jpg					Union Unemployed Workers		True						PHO		
1789	BT1789	Restructuring Universities	BT1789-RestructuringUniversities.jpg					Restructuring Universities		True						PHO		
1790	BT1790	Kill Bill 179	BT1790-KillBill179.jpg					Kill Bill 179		True						PHO		
1791	BT1791	May Day Peace jobs	BT1791-MayDayPeacejobs.jpg					May Day Peace jobs		True						PHO		
1792	BT1792	Support CUEW	BT1792-SupportCUEW.jpg					Support CUEW		True						PHO		
1793	BT1793	GSEU	BT1793-GSEU.jpg					GSEU		True						PHO		
1794	BT1794	On Strike Alert	BT1794-OnStrikeAlert.jpg					On Strike Alert		True						PHO		
1795	BT1795	Let's Stop Racism.	BT1795-LetsStopRacism.jpg					Let's Stop Racism.		True						PHO		
1796	BT1796	IWD First Decade	BT1796-IWDFirstDecade.jpg					IWD First Decade		True						PHO		
1797	BT1797	Sign Up for Peace	BT1797-SignUpforPeace.jpg					Sign Up for Peace		True						PHO		
1798	BT1798	SCCUQ A La Charge	BT1798-SCCUQ-ALaCharge.jpg					SCCUQ A La Charge		True						PHO		
1799	BT1799	Boycott Chilean Products	BT1799-BoycottChileanProducts.jpg					Boycott Chilean Products		True						PHO		
1800	BT1800	Congress Canadian Women	BT1800-CongressCanadianWomen.jpg					Congress Canadian Women		True						PHO		
1801	BT1801	Rock Against Radiation	BT1801-RockAgainstRadiation.jpg					Rock Against Radiation		True						PHO		
1802	BT1802	Canadian Federation of Students	BT1802-CanadianFederationStudents.jpg					Canadian Federation of Students		True						PHO		
1803	BT1803	All We Need is Peace	BT1803-AllWeNeedisPeace.jpg					All We Need is Peace		True						PHO		
1804	BT1804	McMaster Womens Collective	BT1804-McMasterWomensCollective.jpg					McMaster Womens Collective		True						PHO		
1805	BT1805	Solidarnosc	BT1805-Solidarnosc.jpg					Solidarnosc		True						PHO		
1806	BT1806	Affirmative Action	BT1806-AffirmativeAction.jpg					Affirmative Action		True						PHO		
1807	BT1807	Question Authority	BT1807-QuestionAuthority.jpg					Question Authority		True						PHO		
1808	BT1808	CUPE Fairness	BT1808-CUPEFairness.jpg					CUPE Fairness		True						PHO		
1809	BT1809	Help Crack Bell	BT1809-HelpCrackBell.jpg					Help Crack Bell		True						PHO		
1810	BT1810	Protect Basic Service	BT1810-ProtectBasicService.jpg					Protect Basic Service		True						PHO		
1811	BT1811	Ontario Can Work	BT1811-OntarionCanWork.jpg					Ontario Can Work		True						PHO		
1812	BT1812	Support Our Strikers	BT1812-SupportOurStrikers.jpg					Support Our Strikers		True						PHO		
1813	BT1813	Fair Deal	BT1813-FairDeal.jpg					Fair Deal		True						PHO		
1814	BT1814	Dignity Equality Justice	BT1814-DignityEqualityJustice.jpg					Dignity Equality Justice		True						PHO		
1815	BT1815	Grrevistes d'Amoco	BT1815-GrrevistesDAmoco.jpg					Grrevistes d'Amoco		True						PHO		
1816	BT1816	United Steelworkers	BT1816-UnitedSteelworkers.jpg					United Steelworkers		True						PHO		
1817	BT1817	Anti-Intervention	BT1817-AntiIntervention.jpg					Anti-Intervention		True						PHO		
1818	BT1818	Peace	BT1818-Peace.jpg					Peace		True						PHO		
1819	BT1819	Against Cruise Testing	BT1819-AgainstCruiseTesting.jpg					Against Cruise Testing		True						PHO		
1820	BT1820	Ontario Needs New ERA	BT1820-OntarioNeedsNewERA.jpg					Ontario Needs New ERA		True						PHO		
1821	BT1821	Bataille	BT1821-Bataille.jpg					Bataille		True						PHO		
1822	BT1822	Dignity Equality Justice	BT1822-DignityEqualityJustice.jpg					Dignity Equality Justice		True						PHO		
1823	BT1823	Yes Disarmament	BT1823-YesDiaarmament.jpg					Yes Disarmament		True						PHO		
1824	BT1824	Women's Day 1983	BT1824-WomensDay1983.jpg			1983		Women's Day 1983		True						PHO		
1825	BT1825	Patterson Director	BT1825-PattersonDirector.jpg					Patterson Director		True						PHO		
1826	BT1826	Concessions Last Clause	BT1826-ConcessionsLastClause.jpg					Concessions Last Clause		True						PHO		
1827	BT1827	Patterson 6500	BT1827-Patterson6500.jpg					Patterson 6500		True						PHO		
1828	BT1828	Speak Out for Choice	BT1828-SpeakOutforChoice.jpg					Speak Out for Choice		True						PHO		
1829	BT1829	Commemoration December 6	BT1829-CommemorationDecember6.jpg					Commemoration December 6		True						PHO		
1830	BT1830	Struggle Continues	BT1830-StruggleContinues.jpg					Struggle Continues		True						PHO		
1831	BT1831	Peace for All Peace for Iran	BT1831-PeaceforAll-PeaceforIran.jpg					Peace for All Peace for Iran		True						PHO		
1832	BT1832	Support YUSA	BT1832-SupportYUSA.jpg					Support YUSA		True						PHO		
1833	BT1833	Support Churchill NDP	BT1833-Support-ChurchillNDP.jpg					Support Churchill NDP		True						PHO		
1834	BT1834	Support CALFAA	BT1834-SupportCALFAA.jpg					Support CALFAA		True						PHO		
1835	BT1835	Fight the Right Festival	BT1835-FighttheRightFestival.jpg					Fight the Right Festival		True						PHO		
1836	BT1836	INCO Four Letter Word	BT1836-INCPFourLetterWord.jpg					INCO Four Letter Word		True						PHO		
1837	BT1837	Jobs Quality Services	BT1837-JobsQualityServices.jpg					Jobs Quality Services		True						PHO		
1838	BT1838	Women's Day 1985	BT1838-WomensDay1985.jpg			1985		Women's Day 1985		True						PHO		
1839	BT1839	PSAC Nov 21	BT1839-PSAC-Nov21.jpg					PSAC Nov 21		True						PHO		
1840	BT1840	Fight Wage Controls	BT1840-FightWageControls.jpg					Fight Wage Controls		True						PHO		
1841	BT1841	Reelect Lupusella	BT1841-ReelectLupusella.jpg					Reelect Lupusella		True						PHO		
1842	BT1842	Support CALFAA	BT1842-SupportCALFAA.jpg					Support CALFAA		True						PHO		
1843	BT1843	Changer Nos Quotidiens	BT1843-ChangerNosQuotidiens.jpg					Changer Nos Quotidiens		True						PHO		
1844	BT1844	McMaster Womens Centre	BT1844-McMasterWomensCentre.jpg					McMaster Womens Centre		True						PHO		
1845	BT1845	Human rights Colombia	BT1845-HumanrightsColombia.jpg					Human rights Colombia		True						PHO		
1846	BT1846	Air Canada Job Security	BT1846-AirCanadaJobSecurity.jpg					Air Canada Job Security		True						PHO		
1847	BT1847	Winnipeg General Strike	BT1847-WinnipeggeneralStrike.jpg					Winnipeg General Strike		True						PHO		
1848	BT1848	United Campus Nuclear War	BT1848-UnitedCampusNuclearWar.jpg					United Campus Nuclear War		True						PHO		
1849	BT1849	Legislators Control Yourselves	BT1849-LegislatorscontrolYourselves.jpg					Legislators Control Yourselves		True						PHO		
1850	BT1850	New Frontie rJane Finch	BT1850-NewFrontierJaneFinch.jpg					New Frontie rJane Finch		True						PHO		
1851	BT1851	UTSA	BT1851-UTSA.jpg					UTSA		True						PHO		
1852	BT1852	Joe Zuken Mayor	BT1852-JoeZukenMayor.jpg					Joe Zuken Mayor		True						PHO		
1853	BT1853	Unidad Sindical	BT1853-UnidadSindical.jpg					Unidad Sindical		True						PHO		
1854	BT1854	I'm Union	BT1854-ImUnion.jpg					I'm Union		True						PHO		
1855	BT1855	Boycott Eatons	BT1855-BoycottEatons.jpg					Boycott Eatons		True						PHO		
1856	BT1856	Yes CFS	BT1856-YesCFS.jpg					Yes CFS		True						PHO		
1857	BT1857	Stop Contra War	BT1857-StopContraWar.jpg					Stop Contra War		True						PHO		
1858	BT1858	Stop the Cutbacks	BT1858-StoptheCutbacks.jpg					Stop the Cutbacks		True						PHO		
1859	BT1859	David English	BT1859-DavidEnglish.jpg					David English		True						PHO		
1860	BT1860	El Salvador Prisoners	BT1860-ElSalvadorPrisoners.jpg					El Salvador Prisoners		True						PHO		
1861	BT1861	Cut Into Eatons	BT1861-CutIntoEatons.jpg					Cut Into Eatons		True						PHO		
1862	BT1862	Down With Class Size	BT1862-DownWithClassSize.jpg					Down With Class Size		True						PHO		
1863	BT1863	CUPE	BT1863-CUPE.jpg					CUPE		True						PHO		
1864	BT1864	Trojan Horse Cafe	BT1864-TrojanHorseCafe.jpg					Trojan Horse Cafe		True						PHO		
1865	BT1865	Freedom Justice El Salvador	BT1865-FreedomJusticeElSalvador.jpg					Freedom Justice El Salvador		True						PHO		
1866	BT1866	Rock Against Racism	BT1866-RockAgainstRacism.jpg					Rock Against Racism		True						PHO		
1867	BT1867	Edmunds for OFL	BT1867-EdmundsforOFL.jpg					Edmunds for OFL		True						PHO		
1868	BT1868	Keep Campuses International	BT1868-KeepCampusesInternational.jpg					Keep Campuses International		True						PHO		
1869	BT1869	Fee Hike Strike	BT1869-FeeHikeStrike.jpg					Fee Hike Strike		True						PHO		
1870	BT1870	Nuclear Free 83	BT1870-NuclearFree83.jpg			1983		Nuclear Free 83		True						PHO		
1871	BT1871	Boycott Grapes	BT1871-BoycottGrapes.jpg					Boycott Grapes		True						PHO		
1872	BT1872	Legislate Companies Back to Work	BT1872-LegislateCompaniesBacktoWork.jpg					Legislate Companies Back to Work		True						PHO		
1873	BT1873	African Liberation Day	BT1873-AfricanLiberationDay.jpg					African Liberation Day		True						PHO		
1874	BT1874	Victims of INCOmpetence	BT1874-VictimsofINCOmpetence.jpg					Victims of INCOmpetence		True						PHO		
1875	BT1875	Brighton Voice	BT1875-BrightonVoice.jpg					Brighton Voice								PHO		
1876	BT1876	Strajik	BT1876-Strajik.jpg					Strajik		True						PHO		
1877	BT1877	Defend Unions East West	BT1877-DefendUnionsEastWest.jpg					Defend Unions East West		True						PHO		
1878	BT1878	Stronger Now YUFA	BT1878-StrongerNowYUFA.jpg					Stronger Now YUFA		True						PHO		
1879	BT1879	SCTA	BT1879-SCTA.jpg					SCTA		True						PHO		
1880	BT1880	Right to Refuse Unsafe Work	BT1880-RighttoRefuseUnsafeWork.jpg					Right to Refuse Unsafe Work		True						PHO		
1881	BT1881	I Support CALEA	BT1881-ISupportCALEA.jpg					I Support CALEA		True						PHO		
1882	BT1882	Anarchy	BT1882-Anarchy.jpg					Anarchy		True						PHO		
1883	BT1883	Stop the Lie	BT1883-StoptheLie.jpg					Stop the Lie		True						PHO		
1884	BT1884	Operation solidarity	BT1884-Operationsolidarity.jpg					Operation solidarity		True						PHO		
1885	BT1885	Stop Bill 127	BT1885-StopBill127.jpg					Stop Bill 127		True						PHO		
1886	BT1886	Ban the Klan	BT1886-BantheKlan.jpg					Ban the Klan		True						PHO		
1887	BT1887	Boycott Radio Shack	BT1887-BoycottRadioShack.jpg					Boycott Radio Shack		True						PHO		
1888	BT1888	Peace Doves	BT1888-PeaceDoves.jpg					Peace Doves		True						PHO		
1889	BT1889	End Violence Against Women	BT1889-EndViolenceAgainstWomen.jpg					End Violence Against Women		True						PHO		
1890	BT1890	Down With Class Size	BT1890-DownWithClassSize.jpg					Down With Class Size		True						PHO		
1891	BT1891	CUPE2323 Quality Education	BT1891-CUPE2323-QualityEducation.jpg					CUPE2323 Quality Education		True						PHO		
1892	BT1892	Hammer & Sickle	BT1892-Hammer&Sickle.jpg					Hammer & Sickle		True						PHO		
1893	BT1893	Comp Siempre	BT1893-CompSiempre.jpg					Comp Siempre		True						PHO		
1894	BT1894	Peace Symbol	BT1894-PeaceSymbol.jpg					Peace Symbol		True						PHO		
1895	BT1895	James Connolly	BT1895-JamesConnolly.jpg					James Connolly		True						PHO		
1896	BT1896	CBRT	BT1896-CBRT.jpg					CBRT		True						PHO		
1897	BT1897	Women Armagh	BT1897-WomenArmagh.jpg					Women Armagh		True						PHO		
1898	BT1898	Dove	BT1898-Dove.jpg					Dove		True						PHO		
1899	BT1899	B12	BT1899-B12.jpg					B12		True						PHO		
1900	BT1900	OPIRG	BT1900-OPIRG.jpg					OPIRG		True						PHO		
1901	BT1901	CSN	BT1901-CSN.jpg					CSN		True						PHO		
1902	BT1902	Irlande Libre	BT1902-IrlandeLibre.jpg					Irlande Libre		True						PHO		
1903	BT1903	CFSO	BT1903-CFSO.jpg					CFSO		True						PHO		
1904	BT1904	Abortion Womens Choice	BT1904-AbortionWomensChoice.jpg					Abortion Womens Choice		True						PHO		
1905	BT1905	Harper Death button	BT1905-HarperDeathbutton.jpg				100 Jahre Kaugungen in Bildern	Harper Death button		True		True				PHO		
1906	BL1906	Muhlengraben	BL1906-Muhlengraben-p26.jpg				100 Jahre Kaugungen in Bildern	Muhlengraben				True				PHO		
1907	BL1907	Leipziger Strasse	BL1907-LeipzigerStrasse-p34.jpg				100 Jahre Kaugungen in Bildern	Leipziger Strasse				True				PHO		
1908	BL1908	Sussen Loch	BL1908-SussenLoch-p40.jpg				100 Jahre Kaugungen in Bildern	Sussen Loch				True				PHO		
1909	BL1909	Misten	BL1909-Misten-p64.jpg				100 Jahre Kaugungen in Bildern	Misten				True				PHO		
1910	BL1910	Muhlengraben	BL1910-Muhlengraben-p73.jpg				100 Jahre Kaugungen in Bildern	Muhlengraben				True				PHO		
1911	BL1911	Land Unter Ganserammel	BL1911-LandUnter-Ganserammel-p80.jpg				100 Jahre Kaugungen in Bildern	Land Unter Ganserammel				True				PHO		
1912	BL1912	Pferdefuhrwerk	BL1912-Pferdefurhwerk-p92.jpg				100 Jahre Kaugungen in Bildern	Pferdefuhrwerk				True				PHO		
1913	BL1913	Misthaufen	BL1913-Misthaufen-p100.jpg				100 Jahre Kaugungen in Bildern	Misthaufen				True				PHO		
1914	BL1914	Kartoffelsetzen	BL1914-Kartoffelsetzen-p106.jpg				100 Jahre Kaugungen in Bildern	Kartoffelsetzen				True				PHO		
1915	BL1915	Kartoffel	BL1915-Karduffel-usduhn-p107.jpg				100 Jahre Kaugungen in Bildern	Kartoffel				True				PHO		
1916	BL1916	Kartofelernte	BL1916-Kartofelernte-p109.jpg				100 Jahre Kaugungen in Bildern	Kartofelernte				True				PHO		
1917	BL1917	Dreschkasten	BL1917-Dreschkasten-p120.jpg				100 Jahre Kaugungen in Bildern	Dreschkasten				True				PHO		
1918	BL1918	Ziegengespann	BL1918-Ziegengespann-p122.jpg				100 Jahre Kaugungen in Bildern	Ziegengespann				True				PHO		
1919	BL1919	Russian soldiers 1917	BL1919-RussiaSoldiers1917.jpg			1917	Age of Extremes - Hobsbawm	Russian soldiers 1917		True		True				PHO		
1920	BL1920	Lenin	BL1920-Lenin.jpg				Age of Extremes - Hobsbawm	Lenin		True		True				PHO		
1921	BL1921	May Day World Revolution	BL1921-MayDayWorldRevolution.jpg				Age of Extremes - Hobsbawm	May Day World Revolution		True		True				PHO		
1922	BL1922	Italian fascists	BL1922-ItalyFascists.jpg				Age of Extremes - Hobsbawm	Italian fascists		True		True				PHO		
1923	BL1923	Barcelona in Spanish Civil War	BL1923-BarcelonaSpanishCivilWar.jpg				Age of Extremes - Hobsbawm	Barcelona in Spanish Civil War		True		True				PHO		
1924	BL1924	Cuba 1959	BL1924-Cuba1959.jpg			1959	Age of Extremes - Hobsbawm	Cuba 1959		True		True				PHO		
1925	BL1925	El Salvador	BL1925-ElSalvador.jpg				Age of Extremes - Hobsbawm	El Salvador		True		True				PHO		
1926	BL1926	Anti-war demo, London, 1968	BL1926-AntiWarDemoLondon1968.jpg			1968	Age of Extremes - Hobsbawm	Anti-war demo, London, 1968		True		True				PHO		
1927	BL1927	Iran 1979	BL1927-Iran1979.jpg			1979	Age of Extremes - Hobsbawm	Iran 1979		True		True				PHO		
1928	BL1928	Berkeley anti-war demonstration	BL1928-BerkeleyAntiWarDemo.jpg				Age of Extremes - Hobsbawm	Berkeley anti-war demonstration		True		True				PHO		
1929	BL1929	South African election 1994	BL1929-SouthAfricaelection1994.jpg			1994	Age of Extremes - Hobsbawm	South African election 1994		True		True				PHO		
1930	BL1930	Wall Street Crash 1929	BL1930-WallStreetCrash1929.jpg			1929	Age of Extremes - Hobsbawm	Wall Street Crash 1929		True		True				PHO		
1931	BL1931	Berlin Erwerbslose	BL1931-Berlin-Erwerbslose.jpg				Bertolt Brecht's Berlin	Berlin Erwerbslose		True		True				PHO		
1932	BL1932	Freikorps leaflet	BL1932-MordLiebknecht.jpg				Bertolt Brecht's Berlin	Freikorps leaflet		True		True				PHO		
1933	BL1933	Hungarian Revolution	BL1933-HungarianRevolution.jpg			1956	Cry Hungary Uprising 1956	Hungarian Revolution		True		True				PHO		
1934	BL1934	Hungarian Revolution	BL1934-HungarianRevolution.jpg			1956	Cry Hungary Uprising 1956	Hungarian Revolution		True		True				PHO		
1935	BL1935	Hungarian Revolution	BL1935-HungarianRevolution.jpg			1956	Cry Hungary Uprising 1956	Hungarian Revolution		True		True				PHO		
1936	BL1936	Hungarian Revolution	BL1936-HungarianRevolution.jpg			1956	Cry Hungary Uprising 1956	Hungarian Revolution		True		True				PHO		
1937	BL1937	Hungarian Revolution	BL1937-HungarianRevolution.jpg			1956	Cry Hungary Uprising 1956	Hungarian Revolution		True		True				PHO		
1938	BL1938	Hungarian Revolution	BL1938-HungarianRevolution.jpg			1956	Cry Hungary Uprising 1956	Hungarian Revolution		True		True				PHO		
1939	BL1939	Hungarian Revolution	BL1939-Hungarianrevolution.jpg			1956	Cry Hungary Uprising 1956	Hungarian Revolution		True		True				PHO		
1940	BL1940	Book burning	BL1940-BookBurning1933.jpg			1933	Gedenkstatte Deutscher Widerstand	Book burning		True		True				PHO		
1941	BL1941	Hans Scholl, Sophie Scholl, Christoph Probst	BL1941-HansSophieSchollChristophProbst.jpg				Gedenkstatte Deutscher Widerstand	Hans Scholl, Sophie Scholl, Christoph Probst		True		True				PHO		
1942	BL1942	Arvid und Mildred Harnack	BL1942-ArvidMildredHarnack.jpg				Gedenkstatte Deutscher Widerstand	Arvid und Mildred Harnack		True		True				PHO		
1943	BL1943	Dachau prisoners	BL1943-DachauPrisoners.jpg				Gedenkstatte Deutscher Widerstand	Dachau prisoners		True		True				PHO		
1944	BL1944	Communist poster 1928	BL1944-CommunistPoster1928.jpg			1928	Lost Berlin	Communist poster 1928		True		True				PHO		
1945	BL1945	Hitler Gruss collage	BL1945-Heartfield-HitlerGruss.jpg		Hearfield, John		Lost Berlin	Hitler Gruss collage		True		True				PHO		
1946	BL1946	Lenin poster	BL1946-LeninPoster.jpg				Lost Berlin	Lenin poster		True		True				PHO		
1947	BL1947	Brecht	BL1947-Brecht.jpg				Lost Berlin	Brecht		True		True				PHO		
1948	BL1948	Communist Party poster	BL1948-KPDPoster.jpg				Lost Berlin	Communist Party poster		True		True				PHO		
1949	BL1949	Tenure of Kings and Magistrates	BL1949.jpg				The Struggle for Democracy	Tenure of Kings and Magistrates		True		True				PHO		
1950	BL1950	John Ball	BL1950-JohnBall.jpg				The Struggle for Democracy	John Ball		True		True				PHO		
1951	BL1951	Russian Mir	BL1951-RussianMir.jpg				The Struggle for Democracy	Russian Mir		True		True				PHO		
1952	BL1952	BL1952.bmp	BL1952.bmp				The Struggle for Democracy	BL1952.bmp		True		True				PHO		
1953	BL1953	St. Bartholomews Day Massacre	BL1953-StBartholomewsDayMassacre.jpg				The Struggle for Democracy	St. Bartholomews Day Massacre		True		True				PHO		
1954	BL1954	Ku Klux Klan	BL1954-KuKluxKlan.jpg				The Struggle for Democracy	Ku Klux Klan		True		True				PHO		
1955	BL1955	Rosa Parks	BL1955-RosaParks.jpg				The Struggle for Democracy	Rosa Parks		True		True				PHO		
1956	BL1956	Ulster Defence Association	BL1956-UlsterDefenceAssociation.jpg				The Struggle for Democracy	Ulster Defence Association		True		True				PHO		
1957	BL1957	Grasshopper Coffeeshop	BL1957-GrasshopperCoffeeshop.jpg				The Struggle for Democracy	Grasshopper Coffeeshop		True		True				PHO		
1958	BL1958	BL1958.bmp	BL1958.bmp				The Struggle for Democracy	BL1958.bmp		True		True				PHO		
1959	BL1959	Rights of Man	BL1959-RightsofMan.jpg				The Struggle for Democracy	Rights of Man		True		True				PHO		
1960	BL1960	Suffragettes	BL1960-Suffragettes.jpg				The Struggle for Democracy	Suffragettes		True		True				PHO		
1961	BL1961	Wilhelm Tell	BL1961-WilhelmTell.jpg				The Struggle for Democracy	Wilhelm Tell		True		True				PHO		
1962	BL1962	Moneylender	BL1962-Moneylender.jpg				The Struggle for Democracy	Moneylender		True		True				PHO		
1963	BL1963	People before profits	BL1963-PeopleBeforeProfits.jpg				The Struggle for Democracy	People before profits		True		True				PHO		
1964	BL1964	Nelson Mandela	BL1964-NelsonMandela.jpg				The Struggle for Democracy	Nelson Mandela		True		True				PHO		
1965	BL1965	Inuit demo	BL1965-InuitDemo.jpg				The Struggle for Democracy	Inuit demo		True		True				PHO		
1966	BL1966	Proudhon	BL1966-Proudhon.jpg				The Anarchists - Kedward	Proudhon		True		True				PHO		
1967	BL1967	Bakunin	BL1967-Bakunin.jpg				The Anarchists - Kedward	Bakunin		True		True				PHO		
1968	BL1968	Kropotkin	BL1968-Kropotkin.jpg				The Anarchists - Kedward	Kropotkin		True		True				PHO		
1969	BL1969	Dead communards	BL1969-Deadcommunards.jpg				The Anarchists - Kedward	Dead communards		True		True				PHO		
1970	BL1970	Communards	BL1970-Communards.jpg				The Anarchists - Kedward	Communards		True		True				PHO		
1971	BL1971	May Day Shooting	BL1971-MayDayShooting.jpg				The Anarchists - Kedward	May Day Shooting		True		True				PHO		
1972	BL1972	Italian workers on strike	BL1972-ItalianWorkersonStrike.jpg				The Anarchists - Kedward	Italian workers on strike		True		True				PHO		
1973	BL1973	Emma Goldman	BL1973-Emmagoldman.jpg				The Anarchists - Kedward	Emma Goldman		True		True				PHO		
1974	BL1974	Turk Broda	BL1974-TurkBroda.jpg				Years of Glory - The Six-Team Era	Turk Broda				True				PHO		
1975	BL1975	Richard Rollins	BL1975-RichardRollins.jpg				Years of Glory - The Six-Team Era	Richard Rollins				True				PHO		
1976	BL1976	Terry Sawchuk	BL1976-Sawchuk.jpg				Years of Glory - The Six-Team Era	Terry Sawchuk				True				PHO		
1977	BL1977	Maurice Richard	BL1977-MauriceRichard.jpg				Years of Glory - The Six-Team Era	Maurice Richard				True				PHO		
1978	BL1978	Gordie Howe	BL1978-GordieHowe.jpg				Years of Glory - The Six-Team Era	Gordie Howe				True				PHO		
1979	BL1979	Terry Sawchuk	BL1979-Sawchuk.jpg				Years of Glory - The Six-Team Era	Terry Sawchuk				True				PHO		
1980	BL1980	Bobby Orr	BL1980-BobbyOrr.jpg				Years of Glory - The Six-Team Era	Bobby Orr				True				PHO		
1981	BL1981	Red Kelly & Marcel Pronovost	BL1981-KellyPronovost.jpg				Years of Glory - The Six-Team Era	Red Kelly & Marcel Pronovost				True				PHO		
1982	BL1982	Bobby Orr	BL1982-BobbyOrr.jpg				Years of Glory - The Six-Team Era	Bobby Orr				True				PHO		
1983	BT1983	Bullfrog Power button	BT1983-BullfrogPower.jpg					Bullfrog Power button		True		True				PHO		
1984	BT1984	I Support CUPW button	BT1984-ISupportCUPW.jpg					I Support CUPW button		True		True				PHO		
1985	BL1985	TravelwaysBusSchedule - P2 - 1983	BL1985-TravelwaysBusScheduleP2-1983.jpg			1983		TravelwaysBusSchedule - P2 - 1983								PHO		
1986	BL1986	TravelwaysBusSchedule - P1- 1983	BL1986-TravelwaysBusScheduleP1-1983.jpg			1983		TravelwaysBusSchedule - P1- 1983								PHO		
1987	BL1987	Can-ar Bus Schedule 1983	BL1987-Can-arBusSchedule-1983.jpg			1983		Can-ar Bus Schedule 1983								PHO		
1988	BL1988	Greenock Swamp map	BL1988-GreenockSwamp2.jpg					Greenock Swamp map								PHO		
1989	BL1989	Greenock Swamp map	BL1989-GreenockSwamp3.jpg					Greenock Swamp map								PHO		
1990	BL1990	Greenock Swamp map	BL1990-GreenockSwamp1.jpg					Greenock Swamp map								PHO		
1991	BL1991	How to get to the Land	BL1991-HowtoGetotTheLand.jpg					How to get to the Land								PHO		
1992	BL1992	Second Concession SDR Sketch Map	BL1992-SecondConcessionSDRSketchMap.jpg					Second Concession SDR Sketch Map								PHO		
1993	BL1993	Three Way Demolition	BL1993-ThreeWayDemolition.jpg					Three Way Demolition								PHO		
1994	BL1994	Headquarters Conservation Area Trail	BL1994-HeadquartersConservationATrails1988.jpg			1988		Headquarters Conservation Area Trail								PHO		
1995	BL1995	Walkerton map	BL1995-WalkertonMap.jpg					Walkerton map								PHO		
1996	BL1996	Toronto Underground map 2002	BL1996-TorontoUndergroundMap2002.jpg			2002		Toronto Underground map 2002								PHO		
1997	BL1997	Camping in Grey Bruce	BL1997-CampinginGreyBruce.jpg					Camping in Grey Bruce								PHO		
1998	BL1998	Bluewater Country map	BL1998-MapBluewaterCountry.jpg					Bluewater Country map								PHO		
1999	BL1999	Huron shore around Goderich map	BL1999-MapHuronShorearoundGoderich.jpg					Huron shore around Goderich map								PHO		
2000	BL2000	Huron shore around Kinkardine map	BL2000-MapHuronShoreAroundKincardine.jpg					Huron shore around Kinkardine map								PHO		
2001	BL2001	Northern Grey County map	BL2001-MapNorthernGreyCounty.jpg					Northern Grey County map										
2002	BL2002	Saugeen Country east map	BL2002-MapSaugeenCountryEast.jpg					Saugeen Country east map										
2003	BL2003	Saugeen Country west map	BL2003-MapSaugeenCountryWest.jpg					Saugeen Country west map										
2004	BL2004	Simcoe and Dufferin map	BL2004-MapSimcoeandDufferin.jpg					Simcoe and Dufferin map										
2005	BL2005	Southern Grey County mpa	BL2005-MapSouthernGreyCounty.jpg					Southern Grey County mpa										
2006	BL2006	Southwestern Ontario map	BL2006-MapSouthwesternOntario.jpg					Southwestern Ontario map										
2007	BL2007	Stratford Listowel area map	BL2007-MapStratfordListowelArea.jpg					Stratford Listowel area map										
2008	BL2008	Turkey Point map	BL2008-MapTurkeyPoint.jpg					Turkey Point map										
2009	BL2009	Rondeau brochure	BL2009-RoundeauBrochure1.jpg					Rondeau brochure										
2010	BL2010	Turkey Point brochure	BL2010-TurkeyPointBrochure1.jpg					Turkey Point brochure										
2011	BL2011	Rondeau map	BL2011-MapRondeau.jpg					Rondeau map										
2012	BL2012	Distances Highway 17	BL2012-DistancesHwy17a.jpg					Distances Highway 17										
2013	BL2013	Distances Highway 17	BL2013-DistancesHwy17b.jpg					Distances Highway 17										
2014	BL2014	Bruce Trail 21 - BlackBank	BL2014-BruceTrail21-BlackBank.jpg					Bruce Trail 21 - BlackBank										
2015	BL2015	Bruce Trail 22 - DevilsGlen	BL2015-BruceTrail22-DevilsGlen.jpg					Bruce Trail 22 - DevilsGlen										
2016	BL2016	Bruce Trail 23 - PrettyRiver	BL2016-BruceTrail23-PrettyRiver.jpg					Bruce Trail 23 - PrettyRiver										
2017	BL2017	Bruce Trail 24 - BlueMountain	BL2017-BruceTrail24-BlueMountain.jpg					Bruce Trail 24 - BlueMountain										
2018	BL2018	Bruce Trail 25 - Kolapore	BL2018-BruceTrail25-Kolapore.jpg					Bruce Trail 25 - Kolapore										
2019	BL2019	Bruce Trail 26 - Kimberley	BL2019-BruceTrail26-Kimberley.jpg					Bruce Trail 26 - Kimberley										
2020	BL2020	Bruce Trail 28 - Blantyre	BL2020-BruceTrail28-Blantyre.jpg					Bruce Trail 28 - Blantyre										
2021	BL2021	Bruce Trail 29 - BigheadRiver	BL2021-BruceTrail29-BigheadRiver.jpg					Bruce Trail 29 - BigheadRiver										
2022	BL2022	Bruce Trail 30 - InglisFalls	BL2022-BruceTrail30-InglisFalls.jpg					Bruce Trail 30 - InglisFalls										
2023	BL2023	Bruce Trail 31 - OwenSound	BL2023-BruceTrail31-OwenSound.jpg					Bruce Trail 31 - OwenSound										
2024	BL2024	Bruce Trail 32 - Lindenwood	BL2024-BruceTrail32-Lindenwood.jpg					Bruce Trail 32 - Lindenwood										
2025	BL2025	Bruce Trail 33 - Wiarton	BL2025-BruceTrail33-Wiarton.jpg					Bruce Trail 33 - Wiarton										
